	Assay	Cell Type	Molecule
217	ATAC	Ex_neurons_CThPN-clusters_5-cluster_4	
218	ATAC	Inhibitory_neurons-clusters_5-cluster_5	
219	ATAC	Unknown-clusters_5-cluster_6	
220	ATAC	Enterocytes-clusters_6-cluster_1	
221	ATAC	Cardiomyocytes-clusters_7-cluster_1	
222	ATAC	Unknown-clusters_7-cluster_2	
223	ATAC	Cerebellar_granule_cells-clusters_8-cluster_1	
224	ATAC	Cerebellar_granule_cells-clusters_8-cluster_2	
225	ATAC	Unknown-clusters_9-cluster_1	
226	ATAC	Endothelial_II_cells-clusters_9-cluster_2	
227	ATAC	Endothelial_II_cells-clusters_9-cluster_3	
228	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K4me3
229	CHIP	129 ES-E14	H3K4me1
230	CHIP	129 ES-E14	H3K4me3
231	CHIP	129 ES-E14	H3K9me3
232	CHIP	DBA/2 MEL cell line	H3K27me3
233	CHIP	DBA/2 MEL cell line	H3K4me1
234	CHIP	DBA/2 MEL cell line	H3K4me3
235	CHIP	DBA/2 MEL cell line	H3K9me3
236	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	H3K27me3
237	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	H3K36me3
238	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	H3K4me1
239	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	H3K4me3
240	CHIP	DBA/2 MEL cell line treated with 2% dimethyl sulfoxide for 5 days	H3K9me3
241	CHIP	C3H C2C12	H3K36me3
242	CHIP	C3H myocyte originated from C2C12	H3K27me3
243	CHIP	C3H myocyte originated from C2C12	H3K79me2
244	CHIP	C3H C2C12	H3K4me3
245	CHIP	C3H C2C12	H3ac
246	CHIP	C3H C2C12	H3K79me2
247	CHIP	C3H C2C12	H3K27me3
248	CHIP	C3H myocyte originated from C2C12	H3K4me2
249	CHIP	C3H myocyte originated from C2C12	H3K4me3
250	CHIP	C3H myocyte originated from C2C12	H3ac
251	CHIP	C3H myocyte originated from C2C12	H3K36me3
252	CHIP	C3H C2C12	H3K79me3
253	CHIP	C3H myocyte originated from C2C12	CEBPB
254	CHIP	C3H myocyte originated from C2C12	MYOG
255	CHIP	C3H myocyte originated from C2C12	MYOG
256	CHIP	C3H myocyte originated from C2C12	USF1
257	CHIP	C3H C2C12	MYOD1
258	CHIP	C3H myocyte originated from C2C12	MYOD1
259	CHIP	C3H myocyte originated from C2C12	E2F4
260	CHIP	C3H C2C12	CTCF
261	CHIP	C3H myocyte originated from C2C12	MAX
262	CHIP	C3H myocyte originated from C2C12	SRF
263	CHIP	C3H myocyte originated from C2C12	TCF12
264	CHIP	C3H C2C12	MAX
265	CHIP	C3H myocyte originated from C2C12	TCF3
266	CHIP	C3H C2C12	USF1
267	CHIP	C3H myocyte originated from C2C12	MYOD1
268	CHIP	C3H myocyte originated from C2C12	REST
269	CHIP	C3H myocyte originated from C2C12	MYOD1
270	CHIP	C3H myocyte originated from C2C12	POLR2AphosphoS2
271	CHIP	C3H C2C12	CEBPB
272	CHIP	C3H myocyte originated from C2C12	MYOG
273	CHIP	C3H myocyte originated from C2C12	POLR2A
274	CHIP	C57BL/6 heart male adult (8 weeks)	H3K4me1
275	CHIP	C57BL/6 kidney male adult (8 weeks)	H3K4me1
276	CHIP	C57BL/6 bone marrow male adult (8 weeks)	H3K4me1
277	CHIP	C57BL/6 bone marrow male adult (8 weeks)	H3K4me3
278	CHIP	C57BL/6 cortical plate male adult (8 weeks)	H3K4me1
279	CHIP	C57BL/6 cerebellum male adult (8 weeks)	H3K4me3
280	CHIP	C57BL/6 cerebellum male adult (8 weeks)	H3K4me1
281	CHIP	C57BL/6 heart male adult (8 weeks)	H3K4me3
282	CHIP	C57BL/6 kidney male adult (8 weeks)	H3K4me3
283	CHIP	C57BL/6 liver male adult (8 weeks)	H3K4me1
284	CHIP	C57BL/6 liver male adult (8 weeks)	H3K4me3
285	CHIP	C57BL/6 lung male adult (8 weeks)	H3K4me1
286	CHIP	C57BL/6 embryonic fibroblast male embryo (13.5 weeks)	H3K4me1
287	CHIP	C57BL/6 embryonic fibroblast male embryo (13.5 weeks)	H3K4me3
